Designation,Process,Graduation_Cleaned,Post Graduation_cleaned,Diploma_cleaned,Others_cleaned,Raw Master Category_cleaned,Notice period served,Voluntary / Forced,Gender,Rating,Band,Company,Business,Last Shifts for person,Deparment
Finance Controller,Finance,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
Analyst,Underpayments,No details,No details,no details,no details,Health,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Underpayments,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Underpayments,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Assistant Manager,Quality,No details,No details,no details,no details,No data available,0,V,M,Rating not available,P1,R1 RCM India,Quality,3:00 PM - 12:00 AM,Quality
Analyst,Underpayments,No details,No details,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Underpayments,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Accountant,Finance,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
Analyst,Patient Financial Services,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Dartmouth - South PLB,No details,No details,Diploma in Hotel Management ,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Milwaukee,B.Com,No details,no details,no details,No data available,1,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Underpayments,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Coach,Human Resources,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A3,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
Assistant Manager,Human Resources,B.A.,No details,no details,no details,Personal ,1,Data to be derived/skimmed,F,Rating not available,P1,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
Office Assistant,Administration,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
Analyst,Underpayments,B.M.C. ,No details,no details,no details,Higher Studies,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Software Developer,Software Development,B.A.,M.Sc.,no details,no details,Personal ,1,V,M,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Analyst,Returned mail,No details,No details,no details,no details,Unauthorized Absence,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Skip Tracer,Patient Financial Services,B.Com,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Skip Tracer,FCC,B.Com,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Skip Tracer,Returned mail,B.Com,No details,no details,no details,Better opportunity,1,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Skip Tracer,FCC,B.Com,No details,no details,no details,Better opportunity,1,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Skip Tracer,Returned mail,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Software Developer,Software Development,B.E.,No details,no details,no details,Personal ,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Skip Tracer,FCC,B.Com,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC - Registration,B.A.,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Medical Transcriptionist,Medical Transcription,B.A.,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,B.Com,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Data Quality Analyst,Software Development,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Analyst,Patient Financial Services,B.Sc,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Underpayments,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
PE-QA,FCC,B.A.,No details,no details,no details,Movement to AHSPL,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Software Developer,Software Development,B.I.T. ,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Team Lead,FCC,B.A.,No details,no details,no details,Movement to AHSPL,0,Data to be derived/skimmed,M,Rating not available,P1,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,PLB,B.Com,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Underpayments,B.A.,No details,no details,no details,Personal ,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
PE-QA,Quality,B.Com,Post Graduation,no details,no details,Personal ,1,V,M,C,A2,R1 RCM India,Quality,3:00 PM - 12:00 AM,Quality
Analyst,FCC,B.Com,M.C.A.,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Best Possible,B.Com,M.C.A.,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.Com,No details,no details,no details,Personal ,1,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
LEAD DBA,Software Development,B.Sc,PGDA,no details,no details,Personal ,1,Data to be derived/skimmed,M,Rating not available,P1,R1 RCM India,Software Development,3:00 PM - 12:00 AM,Software Development
Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Leader,Medical Transcription,B.A.,No details,no details,no details,No data available,0,V,M,Rating not available,P1,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Quality Analyst,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Coach,Patient Financial Services,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.P.E.,No details,no details,no details,Personal ,1,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Coach,Patient Financial Services,B.C.A. ,No details,no details,no details,Movement to AHSPL,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
